company_name,company_url,industry,rating,reviews,headquarter,other_locations_count,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
Aurobindo Pharma,https://www.ambitionbox.com/overview/aurobindo-pharma-overview,Pharma,4.0,6100.0,Hyderabad,121,"Job Security, Salary, Work Life Balance",,20300.0,310,15,483,9
UST,https://www.ambitionbox.com/overview/ust-overview,IT Services & Consulting,3.7,6100.0,Bengaluru,58,Work Life Balance,,41600.0,626,622,422,27
Mahindra Finance,https://www.ambitionbox.com/overview/mahindra-finance-overview,NBFC,3.8,6000.0,Mumbai,770,,Promotions,12300.0,235,167,541,13
Standard Chartered,https://www.ambitionbox.com/overview/standard-chartered-overview,Banking,3.6,6000.0,Chennai,74,,"Promotions, Work Satisfaction, Salary",42400.0,339,11,329,--
Bosch Global Software Technologies,https://www.ambitionbox.com/overview/bosch-global-software-technologies-overview,IT Services & Consulting,3.7,6000.0,Bengaluru,48,"Work Life Balance, Company Culture, Job Security",,41400.0,401,24,663,21
Berger Paints,https://www.ambitionbox.com/overview/berger-paints-overview,Chemicals,3.7,4900.0,Kolkata,390,,"Promotions, Company Culture, Work Life Balance",11100.0,472,302,295,11
Cars24,https://www.ambitionbox.com/overview/cars24-dot-com-overview,Internet,3.5,4900.0,Gurugram,174,,"Job Security, Promotions, Company Culture",16100.000000000002,424,65,406,18
Eviden,https://www.ambitionbox.com/overview/eviden-overview,IT Services & Consulting,3.6,4800.0,Pune,41,Work Life Balance,,25700.0,317,--,3,11
Hewlett Packard Enterprise,https://www.ambitionbox.com/overview/hewlett-packard-enterprise-overview,IT Services & Consulting,4.1,4800.0,Bengaluru,107,"Work Life Balance, Company Culture, Work Satisfaction",,27900.0,275,296,558,18
Mahindra Logistics,https://www.ambitionbox.com/overview/mahindra-logistic-overview,Logistics,3.7,4800.0,Mumbai,241,,"Promotions, Salary",12900.0,259,88,456,24
Dell,https://www.ambitionbox.com/overview/dell-overview,Consumer Electronics & Appliances,3.8,4800.0,Bengaluru,124,"Work Life Balance, Company Culture",,29600.0,448,11,567,25
Deutsche Bank,https://www.ambitionbox.com/overview/deutsche-bank-overview,Banking,3.8,4700.0,Pune,44,"Work Life Balance, Job Security, Company Culture",,39200.0,451,301,434,81
TeamLease Services,https://www.ambitionbox.com/overview/team-lease-overview,Recruitment,3.9,4700.0,Bengaluru,428,Work Life Balance,,16800.0,274,--,230,10
VE Commercial Vehicles,https://www.ambitionbox.com/overview/ve-commercial-vehicles-overview,Automobile,3.9,4700.0,Indore,188,"Job Security, Company Culture, Work Life Balance",,14800.0,310,20,382,13
Home Credit Finance,https://www.ambitionbox.com/overview/home-credit-finance-overview,NBFC,4.0,4700.0,Gurugram,150,"Work Life Balance, Company Culture, Skill Development",,9000.0,157,104,604,7
Motilal Oswal Financial Services,https://www.ambitionbox.com/overview/motilal-oswal-financial-services-overview,Financial Services,3.6,4700.0,Mumbai,172,,"Promotions, Work Satisfaction, Work Life Balance",13900.0,564,52,183,90
Hyundai Motor India Limited,https://www.ambitionbox.com/overview/hyundai-motor-india-limited-overview,Automobile,4.1,4600.0,Chennai,298,"Job Security, Salary, Company Culture",,14700.0,339,1,538,34
Thermax Limited,https://www.ambitionbox.com/overview/thermax-overview,Industrial Machinery,4.2,4600.0,Pune,274,"Job Security, Company Culture, Skill Development",,13700.0,369,35,408,24
OPPO,https://www.ambitionbox.com/overview/oppo-overview,Consumer Electronics & Appliances,3.9,4600.0,Greater,Noida,Skill Development,,11400.0,269,8,592,10
Jubilant Foods Works,https://www.ambitionbox.com/overview/jubilant-foods-works-overview,Hospitality,3.7,4600.0,Noida,283,,Promotions,10000.0,276,277,216,20
Carelon Global Solutions,https://www.ambitionbox.com/overview/carelon-global-solutions-overview,IT Services & Consulting,3.9,4500.0,Bengaluru,22,"Company Culture, Work Life Balance, Job Security",,29200.0,441,69,41,13
Jindal Steel Limited,https://www.ambitionbox.com/overview/jindal-steel-limited-overview,Iron & Steel,4.0,4500.0,Angul,178,"Skill Development, Job Security",,16800.0,463,36,371,39
Hindalco Industries,https://www.ambitionbox.com/overview/hindalco-industries-overview,Metals & Mining,4.2,4500.0,Sambalpur,136,"Job Security, Work Life Balance, Skill Development",,13400.0,337,12,384,23
Macleods Pharmaceuticals,https://www.ambitionbox.com/overview/macleods-pharmaceuticals-overview,Pharma,3.7,4500.0,Mumbai,143,Job Security,,16100.000000000002,285,21,356,4
State Street Corporation,https://www.ambitionbox.com/overview/state-street-corporation-overview,Financial Services,3.5,4500.0,Bengaluru,39,,"Promotions, Work Satisfaction, Job Security",35200.0,309,11,291,15
Ashok Leyland,https://www.ambitionbox.com/overview/ashok-leyland-overview,Automobile,4.0,5900.0,Chennai,279,"Skill Development, Company Culture, Work Life Balance",,19000.0,342,2,664,16
Hero MotoCorp,https://www.ambitionbox.com/overview/hero-motocorp-overview,Automobile,4.0,5900.0,Gurugram,397,"Work Life Balance, Company Culture, Work Satisfaction",,16700.0,445,--,626,11
Citicorp,https://www.ambitionbox.com/overview/citicorp-overview,Financial Services,3.6,5800.0,Pune,75,Salary,,55500.0,654,--,544,7
Udaan,https://www.ambitionbox.com/overview/udaan-overview,Internet,3.9,5800.0,Bengaluru,374,Salary,,15100.0,377,3,707,16
CGI Inc,https://www.ambitionbox.com/overview/cgi-inc-overview,IT Services & Consulting,4.0,5800.0,Bengaluru,50,"Work Life Balance, Job Security, Company Culture",,48100.0,590,471,381,6
Kalpataru Projects International,https://www.ambitionbox.com/overview/kalpataru-projects-international-overview,Engineering & Construction,4.1,5700.0,Mumbai,348,"Job Security, Skill Development, Salary",,14400.0,364,2,248,23
NTT DATA,https://www.ambitionbox.com/overview/ntt-data-overview,IT Services & Consulting,3.8,5700.0,Bengaluru,88,Work Life Balance,,40100.0,791,10,561,2
SBI Cards & Payment Services,https://www.ambitionbox.com/overview/sbi-cards-and-payment-services-overview,Financial Services,3.6,5700.0,Gurugram,465,,"Promotions, Work Satisfaction, Company Culture",15800.0,346,117,360,14
Nagarjuna Construction Company,https://www.ambitionbox.com/overview/ncc-overview,Construction,4.0,5600.0,Hyderabad,309,"Job Security, Work Life Balance, Skill Development",,13000.0,480,19,442,13
IQVIA,https://www.ambitionbox.com/overview/iqvia-overview,Clinical Research,3.7,5600.0,Bengaluru,68,Work Life Balance,,32700.000000000004,587,39,565,10
Schneider Electric,https://www.ambitionbox.com/overview/schneider-electric-overview,Industrial Automation,4.1,5600.0,Bengaluru,126,"Company Culture, Work Life Balance, Job Security",,27100.0,484,481,471,14
BNY,https://www.ambitionbox.com/overview/bny-overview,Financial Services,3.6,5600.0,Pune,29,,"Promotions, Job Security, Work Satisfaction",32700.000000000004,410,56,562,1
Cyient,https://www.ambitionbox.com/overview/cyient-overview,IT Services & Consulting,3.6,5600.0,Hyderabad,52,,"Promotions, Salary, Skill Development",27700.0,348,183,464,3
CBRE,https://www.ambitionbox.com/overview/cbre-overview,Real Estate,4.1,5500.0,Hyderabad,102,"Company Culture, Work Life Balance, Job Security",,19600.0,378,16,497,20
